Title,Location,lat,lon
Associate Masters Mental Health Professional Adult Team,"San Jose, California",37.3382,-121.8863
Patient Care Technician,"San Jose, California",37.3382,-121.8863
Nurse Practitioner II - Plastic Surgery - San Jose,"San Jose, California",37.3382,-121.8863
Imaging Technician Aide,"San Jose, California",37.3382,-121.8863
"Home Health Aide - On Call, Day Shift - San Jose","San Jose, California",37.3382,-121.8863
Patient Care Coordinator/Case Manager - San Jose Discharge Planning (Day/On-call),"San Jose, California",37.3382,-121.8863
Operating Room Scheduling Clerk G6,"San Jose, California",37.3382,-121.8863
Medical Social Worker II - Grade 10,"San Jose, California",37.3382,-121.8863
Senior Surgical Technician,"San Jose, California",37.3382,-121.8863
Sterile Processing Technician I - On-call - Day shift - San Jose,"San Jose, California",37.3382,-121.8863
Radiologic Technologist IV - CT,"San Jose, California",37.3382,-121.8863
Radiologic Technologist IV - CT,"San Jose, California",37.3382,-121.8863
Storekeeper II WK,"San Jose, California",37.3382,-121.8863
Clinical Nursing Director - Maternal Child Health,"San Jose, California",37.3382,-121.8863
Polysomnographic Technologist,"San Jose, California",37.3382,-121.8863
Staff Nurse II (Med/Tele Unit 1),"San Rafael, California",37.9747795,-122.5316686
Staff Nurse II (Operating Room-1),"San Rafael, California",37.9747795,-122.5316686
Staff Nurse II SH (Operating Room 1),"San Francisco, California",37.7790262,-122.419906
Staff Nurse II (Operating Room-1),"San Francisco, California",37.7790262,-122.419906
Administrative Coordinator II,"Honolulu, Hawaii",21.304547,-157.855676
Staff Nurse II (Operating Room-1),"Vallejo, California",38.1041,-122.2566
"Nurse Case Manager, Cardiovascular Care","San Francisco, California",37.7790262,-122.419906
Nurse Case Manager II Pediatrics,"Roseville, California",38.7521235,-121.2880059
Senior Physician Assistant - Ortho,"Vallejo, California",38.1041,-122.2566
Workforce Schedule to Pay Change Management & Training Coordinator Specialist Managerial Consultant III,"Pleasanton, California",37.6624312,-121.8746789
Certified Nurse Assistant II - Acute,"Clackamas, Oregon",45.4146516,-122.5532561
Staff Nurse II SH (Acute Care-Obstetrics),"Santa Rosa, California",38.4404925,-122.7141049
Staff Nurse II SH (Acute Care-Obstetrics),"Santa Rosa, California",38.4404925,-122.7141049
Cashier-FNS,"Honolulu, Hawaii",21.304547,-157.855676
PACU RN Recovery 4-10's Capitol Hill Seattle,"Seattle, Washington",47.6038321,-122.330062
Outpatient Clinic Clerk,"Wailuku, Hawaii",20.8911,-156.5046
Psych Social Worker,"Simi Valley, California",34.2677404,-118.7538071
LVN - Outpatient-Lvl III -Ontario Hospital - Radiology-General - On Call,"Ontario, California",34.065846,-117.6484304
Staff Nurse II (Med/Surg - UNIT 2),"San Rafael, California",37.9747795,-122.5316686
Medical Assistant III,"Hilo, Hawaii",19.7073734,-155.08158
Nurse Practitioner II - Gastroenterology,"San Leandro, California",37.7249296,-122.1560768
LVN -Outpatient- Lvl II - Rancho Cucamonga MOB - Family Medicine-Regular Clinic - On Call,"Rancho Cucamonga, California",34.1033192,-117.5751735
Physician Assistant - Gastroenterology,"San Leandro, California",37.7249296,-122.1560768
Senior Physician Assistant - Gastroenterology,"San Leandro, California",37.7249296,-122.1560768
Staff Nurse II SH (Labor & Delivery),"Santa Rosa, California",38.4404925,-122.7141049
RN Medical Surgical Telemetry 3-12 Hour Days Capitol Hill,"Seattle, Washington",47.6038321,-122.330062
Home Health Nurse II,"San Francisco, California",37.7790262,-122.419906
Staff Nurse II - Modesto Labor & Delivery (Evening/32),"Modesto, California",37.6390972,-120.9968782
Home Health Nurse II SH,"Santa Clara, California",37.3541132,-121.955174
Storekeeper II (On-Call),"Santa Rosa, California",38.4404925,-122.7141049
PACU RN 3-12's Capitol Hill,"Seattle, Washington",47.6038321,-122.330062
"Technologist, Radiologic Float","Clackamas, Oregon",45.4146516,-122.5532561
School Counselor Associate-Durational-Full Time-Seattle,"Seattle, Washington",47.6038321,-122.330062
Durable Medical Equipment Benefit Specialist,"Portland, Oregon",45.5051,-122.675
Certified Nursing Assistant II-Acute,"Clackamas, Oregon",45.4146516,-122.5532561
"RN, Main OR, KWMC (on call, variable)","Hillsboro, Oregon",45.5228939,-122.989827
Certified Nurse Assistant II-Acute,"Clackamas, Oregon",45.4146516,-122.5532561
