Title,Location,lat,lon,Facility
Associate Masters Mental Health Professional Adult Team,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Patient Care Technician,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Nurse Practitioner II - Plastic Surgery - San Jose,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Imaging Technician Aide,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
"Home Health Aide - On Call, Day Shift - San Jose","San Jose, California",37.3382,-121.8863,Kaiser Permanente
Patient Care Coordinator/Case Manager - San Jose Discharge Planning (Day/On-call),"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Operating Room Scheduling Clerk G6,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Medical Social Worker II - Grade 10,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Senior Surgical Technician,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Sterile Processing Technician I - On-call - Day shift - San Jose,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Radiologic Technologist IV - CT,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Radiologic Technologist IV - CT,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Storekeeper II WK,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Clinical Nursing Director - Maternal Child Health,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Polysomnographic Technologist,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Staff Nurse II (Med/Tele Unit 1),"San Rafael, California",37.9747795,-122.5316686,Kaiser Permanente
Staff Nurse II (Operating Room-1),"San Rafael, California",37.9747795,-122.5316686,Kaiser Permanente
Staff Nurse II SH (Operating Room 1),"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Staff Nurse II (Operating Room-1),"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Administrative Coordinator II,"Honolulu, Hawaii",21.304547,-157.855676,Kaiser Permanente
Staff Nurse II (Operating Room-1),"Vallejo, California",38.1041,-122.2566,Kaiser Permanente
"Nurse Case Manager, Cardiovascular Care","San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Nurse Case Manager II Pediatrics,"Roseville, California",38.7521235,-121.2880059,Kaiser Permanente
Senior Physician Assistant - Ortho,"Vallejo, California",38.1041,-122.2566,Kaiser Permanente
Workforce Schedule to Pay Change Management & Training Coordinator Specialist Managerial Consultant III,"Pleasanton, California",37.6624312,-121.8746789,Kaiser Permanente
Certified Nurse Assistant II - Acute,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Staff Nurse II SH (Acute Care-Obstetrics),"Santa Rosa, California",38.4404925,-122.7141049,Kaiser Permanente
Staff Nurse II SH (Acute Care-Obstetrics),"Santa Rosa, California",38.4404925,-122.7141049,Kaiser Permanente
Cashier-FNS,"Honolulu, Hawaii",21.304547,-157.855676,Kaiser Permanente
PACU RN Recovery 4-10's Capitol Hill Seattle,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
Outpatient Clinic Clerk,"Wailuku, Hawaii",20.8911,-156.5046,Kaiser Permanente
Psych Social Worker,"Simi Valley, California",34.2677404,-118.7538071,Kaiser Permanente
LVN - Outpatient-Lvl III -Ontario Hospital - Radiology-General - On Call,"Ontario, California",34.065846,-117.6484304,Kaiser Permanente
Staff Nurse II (Med/Surg - UNIT 2),"San Rafael, California",37.9747795,-122.5316686,Kaiser Permanente
Medical Assistant III,"Hilo, Hawaii",19.7073734,-155.08158,Kaiser Permanente
Nurse Practitioner II - Gastroenterology,"San Leandro, California",37.7249296,-122.1560768,Kaiser Permanente
LVN -Outpatient- Lvl II - Rancho Cucamonga MOB - Family Medicine-Regular Clinic - On Call,"Rancho Cucamonga, California",34.1033192,-117.5751735,Kaiser Permanente
Physician Assistant - Gastroenterology,"San Leandro, California",37.7249296,-122.1560768,Kaiser Permanente
Senior Physician Assistant - Gastroenterology,"San Leandro, California",37.7249296,-122.1560768,Kaiser Permanente
Staff Nurse II SH (Labor & Delivery),"Santa Rosa, California",38.4404925,-122.7141049,Kaiser Permanente
RN Medical Surgical Telemetry 3-12 Hour Days Capitol Hill,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
Home Health Nurse II,"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Staff Nurse II - Modesto Labor & Delivery (Evening/32),"Modesto, California",37.6390972,-120.9968782,Kaiser Permanente
Home Health Nurse II SH,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
Storekeeper II (On-Call),"Santa Rosa, California",38.4404925,-122.7141049,Kaiser Permanente
PACU RN 3-12's Capitol Hill,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
"Technologist, Radiologic Float","Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
School Counselor Associate-Durational-Full Time-Seattle,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
Durable Medical Equipment Benefit Specialist,"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
Certified Nursing Assistant II-Acute,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
"RN, Main OR, KWMC (on call, variable)","Hillsboro, Oregon",45.5228939,-122.989827,Kaiser Permanente
Certified Nurse Assistant II-Acute,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
"Quality and Safety Improvement Consultant IV, Clinical Quality Consulting, Peri-Op, RN (KFH/HP)","Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
"Lab Assistant II (On-call Day shift in Panorama City, CA)","Panorama City, California",34.2242902,-118.4453745,Kaiser Permanente
CT Technologist-Bellevue-Part Time,"Bellevue, Washington",47.6144219,-122.192337,Kaiser Permanente
Respiratory Care Practitioner I Registered,"Modesto, California",37.6390972,-120.9968782,Kaiser Permanente
Certified Nurse Assistant II - Acute,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Certified Nurse Assistant II - Acute,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Certified Nurse Assistant II - Acute,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
"Sterile Processing Technician, On-Call, Timonium","Lutherville-Timonium, Maryland",0,0,Kaiser Permanente
"Sterile Processing Technician, On-Call, Timonium","Lutherville-Timonium, Maryland",0,0,Kaiser Permanente
Emergency Room RN - Clinic,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Certified Nursing Assistant-MV,"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
Emergency Room Assistant,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Nursing Attendant,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Nursing Attendant,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Nursing Attendant,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Nursing Attendant,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Program Manager III - Risk Adjustment/Chart Review,"Rockville, Maryland",39.0817985,-77.1516844,Kaiser Permanente
CT Technologist -Tacoma-Per Diem,"Tacoma, Washington",47.2455013,-122.438329,Kaiser Permanente
Ward Clerk,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
ER Assistant,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
ER Assistant,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Emergency Room Assistant,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Emergency Room Assistant,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Medical Assistant,"Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
Medical Assistant - Primary Care,"Tacoma, Washington",47.2455013,-122.438329,Kaiser Permanente
Certified Nursing Assistant-MV,"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
Communication Operator,"Redwood City, California",37.4863239,-122.232523,Kaiser Permanente
Nurse Practitioner NP - Physician Assistant PA - OBGYN - Clackamas,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Cardiac Sonographer-Bellevue-Full Time,"Bellevue, Washington",47.6144219,-122.192337,Kaiser Permanente
Licensed Clinical Social Worker -  Inpatient Case Manager 24 HRS - Onsite,"Fremont, California",37.5482697,-121.988571,Kaiser Permanente
"Certified Nurse Assistant I - Med/Surg  (On-Call, Per Diem, Night)","Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Certified Nursing Assistant-MV,"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
Ward Clerk - MV,"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
Diet Assistant,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
Diet Assistant,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
Human Resource Consultant IV,"Hyattsville, Maryland",38.9529442,-76.9408647,Kaiser Permanente
Design & Delivery Consultant IV,"Pleasanton, California",37.6624312,-121.8746789,Kaiser Permanente
Design & Delivery Consultant IV,"Pleasanton, California",37.6624312,-121.8746789,Kaiser Permanente
Receipt & Fulfillment Coordinator I,"Pleasanton, California",37.6624312,-121.8746789,Kaiser Permanente
"Physical Therapist, Inpatient","San Leandro, California",37.7249296,-122.1560768,Kaiser Permanente
Certified Nurse Assistant II-Acute,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Ophthalmic Technician,"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
Medical Assistant,"Tualatin, Oregon",45.3765,-122.6784,Kaiser Permanente
Staff RN - Med/Surg Telemetry,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Respiratory Care Practitioner II Registered,"Roseville, California",38.7521235,-121.2880059,Kaiser Permanente
"Histology Laboratory Assistant, Part Time day shift","Largo, Maryland",38.878,-76.8317,Kaiser Permanente
Design & Delivery Consultant IV,"Pleasanton, California",37.6624312,-121.8746789,Kaiser Permanente
Orthopedic Technician II,"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Case Manager Specialty RN-PD,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
General Facilities Maintenance Manager (Emergency & Safety Management),"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
Respiratory Care Practitioner I Registered,"Roseville, California",38.7521235,-121.2880059,Kaiser Permanente
Nursing Attendant,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Nursing Attendant,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
"Medical Laboratory Technician - Float , Full Time, evening/night shift","Rockville, Maryland",39.0817985,-77.1516844,Kaiser Permanente
Pharmacy Technician I,"Tucker, Georgia",33.8532701,-84.2200729,Kaiser Permanente
Lactation Consultant RN,"Irvine, California",33.6856969,-117.8259819,Kaiser Permanente
Surgery Scheduling Clerk,"Anaheim, California",33.8347516,-117.911732,Kaiser Permanente
Patient Representative,"Santa Ana, California",33.7494951,-117.873221,Kaiser Permanente
Emergency Room Registered Nurse,"Duluth, Georgia",34.0029,-841446,Kaiser Permanente
Emergency Room Registered Nurse,"Duluth, Georgia",34.0029,-84.1446,Kaiser Permanente
Nursing Attendant,"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Sp Unit Staff RN - LABOR & DELIVERY,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Medical Assistant,"Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
Ward Clerk Transcriber,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Staff Nurse II Short Hour - Emergency Department (16 Hours - Per Week),"Richmond, California",37.9358,-122.3478,Kaiser Permanente
Staff Nurse II Short Hour - Emergency Department (16 Hours Per Week),"Richmond, California",37.9358,-122.3478,Kaiser Permanente
Staff Nurse II - Emergency Department,"Richmond, California",37.9358,-122.3478,Kaiser Permanente
Health Care Ombudsman Mediator Specialist VI (KFHP/H),"Fresno, California",36.7394421,-119.78483,Kaiser Permanente
Emergency Room Assistant - West LA - On Call Evenings,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Registered Nurse III Day Surgery,"Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Patient Care Assistant,"Riverside, California",33.9533546,-117.3961623,Kaiser Permanente
Nursing Attendant - West LA - Full Time Nights,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
EKG Technnician I - On-Call - West Los Angeles,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Associate Masters Mental Health Professional - DBT and Child Reassessment Coordinator,"Vallejo, California",38.1041,-122.2566,Kaiser Permanente
Home Health Visiting RN - Port Orchard (Per Diem),"Port Orchard, Washington",47.5315625,-122.6384056,Kaiser Permanente
Home Health Visiting RN - Port Orchard (Per Diem),"Port Orchard, Washington",47.5315625,-122.6384056,Kaiser Permanente
Administrative Coordinator III,"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
